path,relative_path,group,filename,extension,width,height,orientation,megapixels,entropy,contrast,luminance,bytes
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250723_203435313_14.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250723_203435313_14.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250723_203435313_14.jpg,.jpg,1440,1081,landscape,1.56,7.822,61.07,124.233,605624
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250723_203435313_15.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250723_203435313_15.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250723_203435313_15.jpg,.jpg,1440,1081,landscape,1.56,7.79,59.439,128.758,576262
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250723_203435313_16.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250723_203435313_16.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250723_203435313_16.jpg,.jpg,1440,1081,landscape,1.56,7.836,63.328,126.111,525105
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250724_133355477.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250724_133355477.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250724_133355477.jpg,.jpg,1440,1080,landscape,1.56,7.06,39.798,124.738,677276
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250724_133355477_01.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250724_133355477_01.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250724_133355477_01.jpg,.jpg,1440,1080,landscape,1.56,7.105,40.97,122.02,683123
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250724_133355477_02.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250724_133355477_02.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250724_133355477_02.jpg,.jpg,1440,1080,landscape,1.56,6.941,37.189,121.671,735358
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250724_133355477_03.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250724_133355477_03.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250724_133355477_03.jpg,.jpg,1440,1080,landscape,1.56,6.952,37.449,124.16,784672
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250724_133355477_04.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250724_133355477_04.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250724_133355477_04.jpg,.jpg,1440,1080,landscape,1.56,6.904,36.817,122.324,710534
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250724_133355477_05.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250724_133355477_05.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250724_133355477_05.jpg,.jpg,1440,1080,landscape,1.56,6.798,35.272,119.772,702483
C:\Users\seong\OneDrive\Desktop\2025\[사진] 2025 여름수련회 (천진중앙교회연주)\KakaoTalk_20250724_133355477_06.jpg,2025/[사진] 2025 여름수련회 (천진중앙교회연주)/KakaoTalk_20250724_133355477_06.jpg,2025 / [사진] 2025 여름수련회 (천진중앙교회연주),KakaoTalk_20250724_133355477_06.jpg,.jpg,1440,1080,landscape,1.56,6.729,33.944,118.758,726941
